sheet,date,cluster_id,centroid_value,nearest_d_value,row_index_in_date_group,row_number_in_output_sheet
all_2-1,20240902,2,0.2676923076923077,0.2671794871794872,6,7
all_2-1,20240903,0,0.20339743589743592,0.2015384615384616,2,3
all_2-1,20240904,0,0.07743589743589742,0.05846153846153845,4,5
all_2-1,20240904,1,0.20384615384615384,0.2066666666666667,2,3
all_2-1,20240904,2,0.26743589743589746,0.2671794871794872,6,7
all_2-1,20240905,0,0.07743589743589742,0.05846153846153845,4,5
all_2-1,20240905,1,0.20384615384615384,0.2066666666666667,2,3
all_2-1,20240905,2,0.26743589743589746,0.2671794871794872,6,7
all_2-1,20240906,0,0.07743589743589742,0.05846153846153845,4,5
all_2-1,20240906,1,0.20384615384615384,0.2066666666666667,2,3
all_2-1,20240906,2,0.26743589743589746,0.2671794871794872,6,7
all_2-1,20240907,0,0.256474358974359,0.2502564102564103,0,1
all_2-1,20240908,0,0.256474358974359,0.2502564102564103,0,1
all_2-1,20240909,0,0.1725,0.1964102564102564,2,3
all_2-1,20240910,0,0.1725,0.1964102564102564,2,3
all_2-1,20240911,0,0.1725,0.1964102564102564,2,3
all_2-1,20240912,0,0.1725,0.1964102564102564,2,3
all_2-1,20240913,0,0.1725,0.1964102564102564,2,3
all_2-1,20240914,0,0.328974358974359,0.3261538461538462,1,2
all_2-1,20240915,0,0.328974358974359,0.3261538461538462,1,2
all_2-1,20240916,0,0.32993589743589746,0.3261538461538462,1,2
all_2-1,20240917,0,0.2612820512820513,0.2507692307692307,0,1
all_2-1,20240918,0,0.2612820512820513,0.2507692307692307,0,1
all_2-1,20240919,0,0.2612820512820513,0.2507692307692307,0,1
all_2-1,20240920,0,0.2612820512820513,0.2507692307692307,0,1
all_2-1,20240921,0,0.11846153846153847,0.141025641025641,5,6
all_2-1,20240921,1,0.2858461538461538,0.2902564102564102,1,2
all_2-1,20240922,0,0.11846153846153847,0.141025641025641,5,6
all_2-1,20240922,1,0.2858461538461538,0.2902564102564102,1,2
all_2-1,20240923,0,0.11846153846153847,0.141025641025641,5,6
all_2-1,20240923,1,0.2858461538461538,0.2902564102564102,1,2
all_2-1,20240924,0,0.20217948717948717,0.2087179487179487,4,5
all_2-1,20240925,0,0.20217948717948717,0.2087179487179487,4,5
all_2-1,20240926,0,0.20217948717948717,0.2087179487179487,4,5
all_2-1,20240927,0,0.20217948717948717,0.2087179487179487,4,5
all_2-1,20240928,0,0.03709401709401709,0.0441025641025641,5,6
all_2-1,20240928,1,0.3573333333333333,0.3558974358974359,2,3
all_2-1,20240929,0,0.03709401709401709,0.0441025641025641,5,6
all_2-1,20240929,1,0.3573333333333333,0.3558974358974359,2,3
all_2-1,20240930,0,0.20679487179487177,0.2082051282051282,0,1
all_2-1,20241001,0,0.22057692307692311,0.217948717948718,3,4
all_2-1,20241002,0,0.2226923076923077,0.2107692307692308,3,4
all_2-1,20241003,0,0.2226923076923077,0.2107692307692308,3,4
all_2-1,20241004,0,0.2226923076923077,0.2107692307692308,3,4
all_2-1,20241005,0,0.23570512820512818,0.2184615384615385,1,2
all_2-1,20241006,0,0.01982905982905983,0.01948717948717949,5,6
all_2-1,20241006,1,0.38512820512820517,0.3825641025641026,2,3
all_2-1,20241007,0,0.09333333333333334,0.1169230769230769,6,7
all_2-1,20241007,1,0.29435897435897435,0.2917948717948718,0,1
all_2-1,20241007,2,0.34487179487179487,0.3471794871794872,2,3
all_2-1,20241008,0,0.09333333333333334,0.1169230769230769,6,7
all_2-1,20241008,1,0.29435897435897435,0.2917948717948718,0,1
all_2-1,20241008,2,0.34487179487179487,0.3471794871794872,2,3
all_2-1,20241009,0,0.09333333333333334,0.1169230769230769,6,7
all_2-1,20241009,1,0.29435897435897435,0.2917948717948718,0,1
all_2-1,20241009,2,0.34487179487179487,0.3471794871794872,2,3
all_2-1,20241010,0,0.09333333333333334,0.1169230769230769,6,7
all_2-1,20241010,1,0.29435897435897435,0.2917948717948718,0,1
all_2-1,20241010,2,0.34487179487179487,0.3471794871794872,2,3
all_2-1,20241011,0,0.21064102564102563,0.2379487179487179,3,4
all_2-1,20241012,0,0.2275,0.2041025641025641,1,2
all_2-1,20241013,0,0.22403846153846155,0.2041025641025641,1,2
all_2-1,20241014,0,0.22955128205128209,0.2302564102564103,1,2
all_2-1,20241015,0,0.17384615384615384,0.1697435897435897,5,6
all_2-1,20241016,0,0.17384615384615384,0.1697435897435897,5,6
all_2-1,20241017,0,0.17384615384615384,0.1697435897435897,5,6
all_2-1,20241018,0,0.17384615384615384,0.1697435897435897,5,6
all_2-1,20241019,0,0.2750641025641026,0.2764102564102564,0,1
all_2-1,20241020,0,0.2906410256410257,0.2764102564102564,0,1
all_2-1,20241021,0,0.2206410256410256,0.2235897435897436,1,2
all_2-1,20241022,0,0.208974358974359,0.2235897435897436,1,2
all_2-1,20241023,0,0.2541666666666667,0.2364102564102564,0,1
all_2-1,20241024,0,0.2541666666666667,0.2364102564102564,0,1
all_2-1,20241025,0,0.268525641025641,0.2794871794871795,1,2
all_2-1,20241026,0,0.17923076923076925,0.1774358974358974,0,1
all_2-1,20241026,1,0.2751282051282051,0.2974358974358974,2,3
all_2-1,20241026,2,0.43846153846153846,0.4394871794871795,3,4
all_2-1,20241027,0,0.2164957264957265,0.2271794871794872,0,1
all_2-1,20241027,1,0.43846153846153846,0.4394871794871795,3,4
all_2-1,20241028,0,0.18987179487179487,0.1856410256410256,1,2
all_2-1,20241029,0,0.1925,0.2030769230769231,5,6
all_2-1,20241030,0,0.1925,0.2030769230769231,5,6
all_2-1,20241031,0,0.19217948717948719,0.2030769230769231,5,6
all_2-1,20241101,0,0.18653846153846154,0.2020512820512821,1,2
all_2-1,20241102,0,0.2097435897435897,0.22,5,6
all_2-1,20241102,1,0.37247863247863244,0.3712820512820513,3,4
all_2-1,20241103,0,0.21302564102564098,0.22,5,6
all_2-1,20241103,1,0.37247863247863244,0.3712820512820513,3,4
all_2-1,20241104,0,0.27006410256410257,0.2717948717948718,1,2
all_2-1,20241105,0,0.1758333333333333,0.181025641025641,0,1
all_2-1,20241106,0,0.1758333333333333,0.181025641025641,0,1
all_2-1,20241107,0,0.17314102564102563,0.181025641025641,0,1
all_2-1,20241108,0,0.17314102564102563,0.181025641025641,0,1
all_2-1,20241109,0,0.16923076923076924,0.1641025641025641,6,7
all_2-1,20241109,1,0.4586324786324787,0.477948717948718,4,5
all_2-1,20241110,0,0.15394871794871795,0.1548717948717949,5,6
all_2-1,20241110,1,0.42769230769230765,0.462051282051282,4,5
all_2-1,20241111,0,0.13871794871794874,0.1374358974358974,2,3
all_2-1,20241111,1,0.3143589743589744,0.3153846153846154,3,4
all_2-1,20241112,0,0.11476923076923078,0.1128205128205128,0,1
all_2-1,20241112,1,0.2511111111111111,0.2461538461538461,3,4
all_2-1,20241113,0,0.10953846153846154,0.118974358974359,7,8
all_2-1,20241113,1,0.2511111111111111,0.2461538461538461,3,4
all_2-1,20241114,0,0.10953846153846154,0.118974358974359,7,8
all_2-1,20241114,1,0.2511111111111111,0.2461538461538461,3,4
all_2-1,20241115,0,0.10953846153846154,0.118974358974359,7,8
all_2-1,20241115,1,0.2511111111111111,0.2461538461538461,3,4
all_2-1,20241116,0,0.11461538461538459,0.1092307692307692,7,8
all_2-1,20241116,1,0.20435897435897435,0.1974358974358974,2,3
all_2-1,20241116,2,0.2562393162393163,0.2584615384615385,4,5
all_2-1,20241116,3,0.2830769230769231,0.2830769230769231,3,4
all_2-1,20241117,0,0.21057692307692308,0.2112820512820513,5,6
all_2-1,20241118,0,0.08692307692307692,0.08256410256410257,5,6
all_2-1,20241118,1,0.4235897435897436,0.4164102564102564,3,4
all_2-1,20241119,0,0.08692307692307692,0.08256410256410257,5,6
all_2-1,20241119,1,0.4235897435897436,0.4164102564102564,3,4
all_2-1,20241120,0,0.08692307692307692,0.08256410256410257,5,6
all_2-1,20241120,1,0.4235897435897436,0.4164102564102564,3,4
all_2-1,20241121,0,0.08692307692307692,0.08256410256410257,5,6
all_2-1,20241121,1,0.4235897435897436,0.4164102564102564,3,4
all_2-1,20241122,0,0.08692307692307692,0.08256410256410257,5,6
all_2-1,20241122,1,0.4235897435897436,0.4164102564102564,3,4
all_2-1,20241123,0,0.21685897435897433,0.2158974358974359,5,6
all_2-1,20241124,0,0.21262820512820513,0.2158974358974359,5,6
all_2-1,20241125,0,0.10606837606837606,0.1102564102564103,0,1
all_2-1,20241125,1,0.3446153846153846,0.3107692307692307,3,4
all_2-1,20241126,0,0.10264957264957264,0.1133333333333333,2,3
all_2-1,20241126,1,0.3482051282051283,0.3784615384615385,4,5
all_2-1,20241127,0,0.10264957264957264,0.1133333333333333,2,3
all_2-1,20241127,1,0.3482051282051283,0.3784615384615385,4,5
all_2-1,20241128,0,0.10264957264957264,0.1133333333333333,2,3
all_2-1,20241128,1,0.35384615384615387,0.3292307692307692,3,4
all_2-1,20241129,0,0.10726495726495727,0.1102564102564103,5,6
all_2-1,20241129,1,0.35384615384615387,0.3292307692307692,3,4
all_2-1,20241130,0,0.21903846153846157,0.2046153846153846,1,2
all_2-1,20241201,0,0.0757948717948718,0.05794871794871794,6,7
all_2-1,20241201,1,0.42034188034188036,0.4256410256410257,3,4
all_2-1,20241202,0,0.0794871794871795,0.0794871794871795,1,2
all_2-1,20241202,1,0.15829059829059824,0.161025641025641,2,3
all_2-1,20241202,2,0.3376923076923076,0.3292307692307692,3,4
all_2-1,20241203,0,0.0794871794871795,0.0794871794871795,1,2
all_2-1,20241203,1,0.15829059829059824,0.161025641025641,2,3
all_2-1,20241203,2,0.31948717948717953,0.3405128205128205,4,5
all_2-1,20241204,0,0.10880341880341882,0.09948717948717949,0,1
all_2-1,20241204,1,0.3223076923076923,0.2984615384615385,3,4
all_2-1,20241205,0,0.10623931623931625,0.1071794871794872,2,3
all_2-1,20241205,1,0.3302564102564103,0.36,4,5
all_2-1,20241206,0,0.09666666666666668,0.0958974358974359,5,6
